,Data,Negozio,Prodotto,Quantita,Prezzo_unitario
0,2023-09-01,Milano,Smartphone,5,499.99
1,2023-09-01,Roma,Laptop,3,899.0
2,2023-09-01,Napoli,TV,4,649.9
3,2023-09-02,Torino,Tablet,6,329.99
4,2023-09-02,Firenze,Cuffie,11,89.9
5,2023-09-02,Milano,Smartphone,8,489.5
6,2023-09-03,Roma,Laptop,2,950.0
7,2023-09-03,Napoli,TV,5,599.0
8,2023-09-03,Torino,Tablet,3,339.9
9,2023-09-04,Milano,Smartphone,7,510.0
10,2023-09-04,Firenze,Cuffie,14,79.99
11,2023-09-05,Roma,Laptop,4,920.0
12,2023-09-05,Napoli,TV,3,620.0
13,2023-09-06,Milano,Smartphone,9,495.0
14,2023-09-06,Torino,Tablet,5,349.0
15,2023-09-06,Firenze,Cuffie,10,94.5
16,2023-09-07,Roma,Laptop,1,880.0
17,2023-09-07,Napoli,TV,6,580.0
18,2023-09-08,Milano,Smartphone,6,505.0
19,2023-09-08,Torino,Tablet,7,319.99
20,2023-09-08,Firenze,Cuffie,9,85.0
21,2023-09-09,Roma,Laptop,3,940.0
22,2023-09-09,Napoli,TV,4,610.0
23,2023-09-10,Milano,Smartphone,5,520.0
24,2023-09-10,Torino,Tablet,8,329.0
25,2023-09-10,Firenze,Cuffie,12,92.0
26,2023-09-11,Milano,Smartphone,4,485.0
27,2023-09-11,Roma,Laptop,5,910.0
28,2023-09-12,Napoli,TV,3,590.0
29,2023-09-12,Torino,Tablet,6,345.0
